6817_4#4,HKU365,16/03/2009,6817_4#4-39888
6817_4#5,HKU366,29/12/2009,6817_4#5-40176
6817_4#6,HKU367,06/01/2010,6817_4#6-40184
6817_4#7,HKU368,18/06/2010,6817_4#7-40347
6817_4#8,HKU369,29/10/2010,6817_4#8-40480
6817_4#9,HKU370,05/11/2010,6817_4#9-40487
6817_4#10,HKU371,02/12/2010,6817_4#10-40514
6817_4#11,HKU372,22/12/2010,6817_4#11-40534
6817_4#12,HKU373,17/06/2011,6817_4#12-40711
6817_4#13,HKU374,21/06/2011,6817_4#13-40715
6817_4#14,HKU375,21/06/2011,6817_4#14-40715
6817_4#15,HKU376,24/06/2011,6817_4#15-40718
6817_4#16,HKU377,24/06/2011,6817_4#16-40718
6817_4#17,HKU378,24/06/2011,6817_4#17-40718
6817_4#18,HKU379,24/06/2011,6817_4#18-40718
6817_4#19,HKU380,24/06/2011,6817_4#19-40718
6817_4#20,HKU381,24/06/2011,6817_4#20-40718
6817_4#21,HKU382,24/06/2011,6817_4#21-40718
6817_4#22,HKU383,24/06/2011,6817_4#22-40718
6817_4#23,HKU384,24/06/2011,6817_4#23-40718
6817_4#24,HKU385,24/06/2011,6817_4#24-40718
6817_4#25,HKU386,24/06/2011,6817_4#25-40718
6817_4#26,HKU387,24/06/2011,6817_4#26-40718
6817_4#27,HKU388,24/06/2011,6817_4#27-40718
6817_4#28,HKU389,25/06/2011,6817_4#28-40719
6817_4#29,HKU390,25/06/2011,6817_4#29-40719
6817_4#30,HKU391,25/06/2011,6817_4#30-40719
6817_4#31,HKU392,25/06/2011,6817_4#31-40719
6817_4#32,HKU393,25/06/2011,6817_4#32-40719
6817_4#33,HKU394,25/06/2011,6817_4#33-40719
6817_4#34,HKU395,25/06/2011,6817_4#34-40719
6817_4#35,HKU396,27/06/2011,6817_4#35-40721
6817_4#36,HKU397,27/06/2011,6817_4#36-40721
6817_4#37,HKU398,27/06/2011,6817_4#37-40721
6817_4#38,HKU399,27/06/2011,6817_4#38-40721
6817_4#39,HKU400,27/06/2011,6817_4#39-40721
6817_4#40,HKU401,27/06/2011,6817_4#40-40721
6817_4#41,HKU402,28/06/2011,6817_4#41-40722
6817_4#42,HKU403,14/06/2011,6817_4#42-40708
5749_2#1,NS488_AUS,30/06/1995,5749_2#1-34880
6753_5#30,HKU30,07/02/2011,6753_5#30-40581
MGAS2096,MGAS2096,30/06/1960,MGAS2096-22097
MGAS9429,MGAS9429,30/06/2001,MGAS9429-37072
QMH11M0907901,HKU16_REF,11/06/2011,QMH11M0907901-40705
7368_7#3,NS3785_AUS,30/06/2003,7368_7#3-37802
7368_7#12,NS4518_AUS,30/06/2004,7368_7#12-38168
HLJGAS12011,HLJGAS12011,30/06/2011,HLJGAS12011-40724
BJCYGAS15,BJCYGAS15,30/06/2011,BJCYGAS15-40724
