isolate,ENA_accession,name,id,contigs,contig_name,country,continent,year,serogroup
ERR017071,ERS006948,D8,316,196,316_D8.fas,Mali,Africa,1990,A
ERR017005,ERS006986,DK_24,411,780,411_DK_24.fas,Denmark,Europe,1940,B
ERR016993,ERS006956,DK_353,412,258,412_DK_353.fas,Denmark,Europe,1962,B
ERR017061,ERS006933,E26,656,588,656_E26.fas,Norway,Europe,1988,X
ERR017058,ERS006936,E32,655,346,655_E32.fas,Norway,Europe,1988,Z
ERR016999,ERS006962,EG_011,416,312,416_EG_011.fas,Germany,Europe,1986,B
ERR017009,ERS006982,EG_327,414,406,414_EG_327.fas,Germany,Europe,1985,B
ERR016995,ERS006958,EG_328,413,293,413_EG_328.fas,Germany,Europe,1985,B
ERR017014,ERS007000,EG_329,415,336,415_EG_329.fas,Germany,Europe,1985,B
ERR017016,ERS007010,F1576,344,335,344_F1576.fas,Ghana,Africa,1984,C
ERR017037,ERS006907,F4698,120,638,120_F4698.fas,Saudi Arabia,Asia,1987,A
ERR017027,ERS006906,F6124,128,455,128_F6124.fas,Chad,Africa,1988,A
ERR018875,ERS006919,G2136,638,1,638_G2136.fas,UK,Europe,1986,B
ERR017011,ERS006980,H1964,210,314,210_H1964.fas,UK,Europe,1987,A
ERR017034,ERS006910,H44/76,237,1,237_H44_76.fas,Norway,Europe,1976,B
ERR017040,ERS006990,IAL2229,84,188,84_IAL2229.fas,Brazil,South America,1976,A
ERR017074,ERS006945,L93/4286,644,209,644_L93_4286.fas,UK,Europe,1993,C
ERR018869,ERS006925,M-101/93,648,433,648_M-101_93.fas,Iceland,Europe,1993,B
ERR018870,ERS006924,M40/94,650,309,650_M40_94.fas,Chile,South America,1994,B
ERR028666,ERS006965,M597,369,344,369_M597.fas,Israel,Asia,1988,C
ERR045764,ERS006964,MA-5756,507,239,507_MA-5756.fas,Spain,Europe,1985,C
ERR017060,ERS006934,N45/96,652,216,652_N45_96.fas,Norway,Europe,1996,B
ERR016990,ERS006954,NG_080,430,294,430_NG_080.fas,Norway,Europe,1981,B
ERR017072,ERS006947,NG_3/88,417,241,417_NG_3_88.fas,Norway,Europe,1988,B
ERR017042,ERS006999,NG_4/88,418,226,418_NG_4_88.fas,Norway,Europe,1988,B
ERR016994,ERS006957,NG_6/88,419,277,419_NG_6_88.fas,Norway,Europe,1988,B
ERR045773,ERS006966,NG_E28,426,271,426_NG_E28.fas,Norway,Europe,1988,B
ERR017002,ERS006978,NG_E30,427,323,427_NG_E30.fas,Norway,Europe,1988,B
ERR017043,ERS006998,NG_E31,424,264,424_NG_E31.fas,Norway,Europe,1988,B
ERR045775,ERS006975,NG_F26,420,323,420_NG_F26.fas,Norway,Europe,1988,B
ERR016996,ERS006959,NG_G40,425,851,425_NG_G40.fas,Norway,Europe,1988,B
ERR017008,ERS006983,NG_H15,421,393,421_NG_H15.fas,Norway,Europe,1988,B
ERR017001,ERS006976,NG_H36,428,342,428_NG_H36.fas,Norway,Europe,1988,B
ERR017050,ERS006991,NG_H38,423,266,423_NG_H38.fas,Norway,Europe,1988,B
ERR045765,ERS006974,NG_H41,422,315,422_NG_H41.fas,Norway,Europe,1988,B
ERR017030,ERS006914,NG_P20 ,436,305,436_NG_P20.fas,Norway,Europe,1969,B
ERR017031,ERS006913,NG_PB24,434,321,434_NG_PB24.fas,Norway,Europe,1985,B
ERR017015,ERS007001,NG144/82,431,353,431_NG144_82.fas,Norway,Europe,1982,B
ERR017044,ERS006997,S3131,19,173,19_S3131.fas,Ghana,Africa,1973,A
ERR017039,ERS006988,S4355,24,198,24_S4355.fas,Denmark,Europe,1974,A
ERR017068,ERS006951,S5611,67,194,67_S5611.fas,Australia,Oceania,1977,A
ERR017052,ERS006928,SB25,640,457,640_SB25.fas,South Africa,Africa,1990,C
ERR017010,ERS006981,SWZ107,444,381,444_SWZ107.fas,Switzerland,Europe,1986,B
ERR017070,ERS006949,Z2491,613,1,613_Z2491.fas,The Gambia,Africa,1983,A
ref,-,FAM18,698,1,698_FAM18.fas,USA,North America,1983,C
